Games,ExploredStates
10000,2557334
20000,2787676
30000,3021685
40000,3252326
50000,3483640
60000,3718873
70000,3949993
80000,4185280
90000,4415355
100000,4644238
110000,4874489
120000,5107595
130000,5337880
140000,5569572
150000,5794462
160000,6028432
170000,6260131
180000,6491805
190000,6724752
200000,6954996
210000,7183513
220000,7415813
230000,7646262
240000,7873939
250000,8105958
260000,8334568
270000,8565533
280000,8796539
290000,9026130
300000,9258286
310000,9486626
320000,9720884
330000,9949406
340000,10177295
350000,10408340
360000,10635420
370000,10863332
380000,11093263
390000,11330816
400000,11562942
